fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.798076923076923,0.8461538461538461,0.7966275068156915,0.09898495674133301,1,[np.int64(11)]
2,0.6190476190476191,0.6442307692307692,0.6363636363636364,0.6354889093022426,0.0953664779663086,1,[np.int64(11)]
3,0.7142857142857143,0.75,0.75,0.7071067811865476,0.0937659740447998,1,[np.int64(11)]
4,0.7619047619047619,0.759090909090909,0.7368421052631579,0.7567874686642695,0.09371399879455566,1,[np.int64(11)]
5,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.6674238124719146,0.09370803833007812,1,[np.int64(11)]
6,0.9047619047619048,0.8928571428571429,0.9285714285714286,0.8921425711997711,0.09373879432678223,1,[np.int64(11)]
7,0.8095238095238095,0.8090909090909091,0.8,0.8090398349558906,0.09482359886169434,1,[np.int64(11)]
8,0.6666666666666666,0.6944444444444444,0.6956521739130435,0.6666666666666666,0.10932564735412598,1,[np.int64(11)]
9,0.85,0.8434343434343434,0.8695652173913043,0.8408749651825217,0.14514994621276855,1,[np.int64(11)]
10,0.75,0.7291666666666667,0.8,0.7216878364870323,0.10783553123474121,1,[np.int64(11)]
