Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
L1SVM,Not noise,0.975344611528822,0.9729360782246843,0.062315845489501955,10.1,"8, 11, 14, 22, 24, 25, 27, 28, 29",9,2.0,,,
L1SVM,Noise,0.8963345864661655,0.8866292392681903,0.06489994525909423,13.5,"3, 6, 7, 9, 14, 15, 17, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30",17,16.0,,,
L1SVM,Outlier,0.9174812030075186,0.9266378557877143,0.07243998050689697,9.9,"2, 8, 15, 21, 22, 25, 27, 28, 29",9,0.25,,,
L1SVM,Noise + Outlier,0.8559837092731831,0.8605429414831198,0.068959641456604,13.1,"2, 4, 5, 6, 7, 11, 21, 22, 23, 24, 26, 28, 29, 30",14,0.125,,,
L2SVM,Not noise,0.9770989974937343,0.9742874295760358,0.08956587314605713,13.9,"4, 5, 8, 11, 14, 21, 22, 23, 24, 25, 27, 28, 29",13,2.0,,,
L2SVM,Noise,0.8981203007518797,0.8891292392681903,0.09064285755157471,15.7,"1, 3, 6, 7, 9, 11, 14, 15, 17, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30",19,0.25,,,
L2SVM,Outlier,0.9104636591478696,0.9231457922956509,0.09910571575164795,12.8,"1, 2, 3, 8, 15, 19, 21, 22, 23, 25, 27, 28, 29",13,0.125,,,
L2SVM,Noise + Outlier,0.8524749373433584,0.8562451741565139,0.08695886135101319,18.2,"2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 18, 21, 22, 23, 24, 26, 28, 29, 30",19,0.125,,,
MILP1,Not noise,0.9735902255639097,0.9697416337802398,0.11657888889312744,11.0,"5, 11, 14, 21, 22, 23, 24, 25, 27, 28, 29",11,0.125,11.0,,
MILP1,Noise,0.8963345864661655,0.8866292392681903,0.09922397136688232,13.3,"3, 6, 9, 14, 15, 20, 21, 22, 23, 24, 25, 27, 28, 30",14,0.125,14.0,,
MILP1,Outlier,0.9122180451127818,0.9241668917923601,0.10126101970672607,9.0,"2, 8, 15, 21, 22, 25, 27, 28, 29",9,0.125,9.0,,
MILP1,Noise + Outlier,0.8507205513784462,0.856364825445123,0.2944481611251831,6.0,"4, 5, 6, 8, 22, 30",6,0.125,6.0,,
PinFSSVM,Not noise,0.9771303258145363,0.9730605076826052,0.296621298789978,5.0,"8, 22, 24, 25, 29",5,0.125,5.0,0.1,
PinFSSVM,Noise,0.9016290726817042,0.9015203599813987,0.2792443513870239,14.0,"3, 4, 7, 9, 11, 17, 21, 22, 24, 26, 27, 28, 29, 30",14,0.5,14.0,1.0,
PinFSSVM,Outlier,0.9210213032581454,0.9314960378281814,0.2966132164001465,5.0,"2, 8, 21, 25, 29",5,0.125,5.0,0.5,
PinFSSVM,Noise + Outlier,0.8577380952380953,0.8677579157290654,0.49230549335479734,10.0,"2, 5, 6, 7, 21, 23, 26, 27, 28, 29",10,4.0,10.0,1.0,
PinballSVM,Not noise,0.9701441102756891,0.9694430782592548,0.20901944637298583,8.9,"2, 8, 11, 15, 21, 22, 25, 27, 28, 29",10,0.5,,1.0,
PinballSVM,Noise,0.8946115288220551,0.8944674129284517,0.21069951057434083,16.4,"3, 4, 7, 9, 10, 11, 17, 21, 22, 24, 26, 27, 28, 29, 30",15,0.125,,1.0,
PinballSVM,Outlier,0.9227443609022556,0.9325795902050584,0.22691338062286376,10.1,"2, 8, 15, 19, 21, 22, 25, 27, 28, 29",10,1.0,,0.1,
PinballSVM,Noise + Outlier,0.8524749373433584,0.8602400866910956,0.2073375701904297,17.2,"2, 4, 5, 6, 7, 8, 9, 12, 13, 18, 21, 22, 23, 26, 27, 28, 29, 30",18,0.5,,1.0,
FisherSVM,Not noise,0.975344611528822,0.9729360782246843,0.6214555501937866,9.8,"8, 11, 14, 22, 24, 25, 27, 28, 29",9,2.0,,,
FisherSVM,Noise,0.8963659147869674,0.8867024993414503,0.6354142427444458,10.3,"1, 3, 11, 14, 21, 22, 23, 24, 27, 28",10,16.0,,,
FisherSVM,Outlier,0.9157268170426065,0.9251696018194604,0.6494767665863037,7.7,"2, 8, 21, 22, 25, 27, 28, 29",8,0.25,,,
FisherSVM,Noise + Outlier,0.850689223057644,0.8563716127754397,0.6355905532836914,10.4,"2, 4, 6, 7, 11, 21, 22, 23, 26, 27",10,4.0,,,
RFESVM,Not noise,0.975344611528822,0.9729360782246843,0.06598167419433594,10.1,"8, 11, 14, 22, 24, 25, 27, 28, 29",9,2.0,,,30.0
RFESVM,Noise,0.8963345864661655,0.8866292392681903,0.06920006275177001,13.5,"3, 6, 7, 9, 14, 15, 17, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30",17,16.0,,,30.0
RFESVM,Outlier,0.9174812030075186,0.9266378557877143,0.07760040760040283,9.9,"2, 8, 15, 21, 22, 25, 27, 28, 29",9,0.25,,,30.0
RFESVM,Noise + Outlier,0.8559837092731831,0.8605429414831198,0.07283852100372315,13.1,"2, 4, 5, 6, 7, 11, 21, 22, 23, 24, 26, 28, 29, 30",14,0.125,,,30.0
